Class	PixelSum	Percentage %	Area [degree^2]
10.0	39058	3.54266931035	0.283667831261
11.0	5436	0.493060330049	0.0394802173879
12.0	7	0.000634919483139	5.083913203e-05
20.0	8567	0.777050744579	0.0622198348716
30.0	8462	0.767526952332	0.0614572478911
40.0	21902	1.98657235996	0.159068381389
50.0	555163	50.3548292883	4.03200072217
60.0	9147	0.829658358896	0.0664322200969
61.0	2705	0.245351028842	0.019645693163
70.0	151578	13.7485464879	1.10087056498
100.0	67380	6.11155353913	0.489362959455
110.0	3945	0.357822480141	0.0286514822655
120.0	106803	9.68732936539	0.775681688314
121.0	94177	8.54211602337	0.683982419599
122.0	40	0.00362811133222	0.000290509325886
130.0	19869	1.8021736015	0.144303244901
150.0	13	0.00117913618297	9.44155309129e-05
170.0	140	0.0126983896628	0.0010167826406
180.0	1306	0.118457834997	0.00948512949017
190.0	78	0.00707481709784	0.000566493185477
200.0	5	0.000453513916528	3.63136657357e-05
201.0	45	0.00408162524875	0.000326822991622
202.0	7	0.000634919483139	5.083913203e-05
210.0	6316	0.572878779358	0.0458714225574
220.0	353	0.0320180825069	0.00256374480094
