"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",109678,2747,6,6795,161,120686,233,432,26732
"BUA",2866,10275,2,6097,413,52607,0,836,995
"FOR",482,899,3666892,8726,121971,39090,229302,552180,4051
"MNG",21302,41702,69704,2286336,527235,1394552,126236,203069,95747
"OPM",167,994,26706,29216,9602,14467,8280,3460,854
"RPD",237209,200136,14297,1192537,531275,20477801,110584,587895,275012
"RBR",472,272,29599,6847,28610,40221,182039,54087,4469
"SHB",5046,45604,191728,75674,129111,895994,59545,1088499,17387
"WTR",102620,7044,36,71016,3892,137416,3749,206,1011741
