Class	PixelSum	Percentage %	Area [degree^2]
10.0	179674	9.5959350501	1.30492431548
11.0	51105	2.72938911994	0.371161977485
20.0	7398	0.395108515982	0.0537296998226
30.0	39811	2.12620507296	0.289136669321
40.0	264956	14.1506315167	1.92430472373
50.0	253279	13.526992406	1.83949778878
60.0	137747	7.35671975548	1.00041970282
61.0	322	0.0171972076435	0.00233860007338
70.0	256608	13.7047858974	1.86367542742
100.0	450819	24.0771054429	3.27417809466
110.0	217	0.0115894225423	0.00157601309293
120.0	46669	2.49247355128	0.338944493244
121.0	150861	8.05710541087	1.09566318531
122.0	8	0.000427259817229	5.81018651772e-05
130.0	24239	1.29454383873	0.176041388754
170.0	92	0.00491348789813	0.000668171449537
180.0	637	0.0340205629469	0.00462636101473
190.0	852	0.0455031705349	0.00618784864137
210.0	7103	0.379353310222	0.0515871935442
