Interval*, Id_From*, Id_To_*, Category_name_From, Category_name_To_, Observed_Annual_Transition_number_of_elements, Transition_Intensity_percent_of_t1_category, Uniform_Intensity_percent_of_non_category, Uniform_Annual_Transition_number_of_elements, Hypothesized_Annual_error_number_of_elements, Commission_Intensity_percent_of_transition, Omission_Intensity_percent_of_transition, 
15, 3, 1, Cropland, Forest, 4, 0.0165193689601057, 0.00706139886311478, 1.70968539246496, 2.29031460753504, 57.2578651883761, 0, 
15, 3, 2, Cropland, Other Vegetation, 0, 0, 0.026676866716478, 6.46126016849135, 6.46126016849135, 0, 100, 
15, 3, 3, Cropland, Cropland, 0, 0, 0.00302905173968538, 0, 0, 0, 0, 
15, 3, 4, Cropland, Non-Forest, 1, 0.00412984224002643, 0.000103925724977197, 0.0251635619401428, 0.974836438059857, 97.4836438059857, 0, 
15, 4, 1, Non-Forest, Forest, 12, 0.123418697932737, 0.00706139886311478, 0.685780869319585, 11.3142191306804, 94.2851594223368, 0, 
15, 4, 2, Non-Forest, Other Vegetation, 1, 0.0102848914943947, 0.026676866716478, 2.59421703799756, 1.59421703799756, 0, 61.4527240646031, 
15, 4, 3, Non-Forest, Cropland, 1, 0.0102848914943947, 0.00302905173968538, 0.294493330487563, 0.705506669512437, 70.5506669512437, 0, 
15, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000103925724977197, 0, 0, 0, 0, 
16, 1, 1, Forest, Forest, 0, 0, 0.00721332408390784, 0, 0, 0, 0, 
16, 1, 2, Forest, Other Vegetation, 544, 0.187513787778513, 0.019874796064936, 57.5624898967907, 486.437510103209, 89.4186599454429, 0, 
16, 1, 3, Forest, Cropland, 18, 0.00620450033090668, 0.00327286198549913, 9.4946869962152, 8.5053130037848, 47.2517389099156, 0, 
16, 1, 4, Forest, Non-Forest, 0, 0, 3.4641776319436e-05, 0.100499984930822, 0.100499984930822, 0, 100, 
16, 2, 1, Other Vegetation, Forest, 166, 0.111258562217665, 0.00721332408390784, 10.7512252024097, 155.24877479759, 93.5233583118014, 0, 
16, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.019874796064936, 0, 0, 0, 0, 
16, 2, 3, Other Vegetation, Cropland, 76, 0.05093765499122, 0.00327286198549913, 4.88084790791119, 71.1191520920888, 93.5778317001169, 0, 
16, 2, 4, Other Vegetation, Non-Forest, 0, 0, 3.4641776319436e-05, 0.0516862410091569, 0.0516862410091569, 0, 100, 
16, 3, 1, Cropland, Forest, 18, 0.0740862693447481, 0.00721332408390784, 1.75137715360117, 16.2486228463988, 90.270126924438, 0, 
16, 3, 2, Cropland, Other Vegetation, 1, 0.00411590385248601, 0.019874796064936, 4.82954156551321, 3.82954156551321, 0, 79.2941009734589, 
16, 3, 3, Cropland, Cropland, 0, 0, 0.00327286198549913, 0, 0, 0, 0, 
16, 3, 4, Cropland, Non-Forest, 1, 0.00411590385248601, 3.4641776319436e-05, 0.00841622247233587, 0.991583777527664, 99.1583777527664, 0, 
16, 4, 1, Non-Forest, Forest, 4, 0.0411861614497529, 0.00721332408390784, 0.700320018418326, 3.29967998158167, 82.4919995395419, 0, 
16, 4, 2, Non-Forest, Other Vegetation, 1, 0.0102965403624382, 0.019874796064936, 1.93042511392051, 0.930425113920511, 0, 48.1979387447413, 
16, 4, 3, Non-Forest, Cropland, 0, 0, 0.00327286198549913, 0.317870759502927, 0.317870759502927, 0, 100, 
16, 4, 4, Non-Forest, Non-Forest, 0, 0, 3.4641776319436e-05, 0, 0, 0, 0, 
17, 1, 1, Forest, Forest, 0, 0, 0.00502558444478034, 0, 0, 0, 0, 
17, 1, 2, Forest, Other Vegetation, 853, 0.294403909739144, 0.0314901121047991, 90.9988659988658, 762.001134001134, 89.3319031654319, 0, 
17, 1, 3, Forest, Cropland, 36, 0.012425018464958, 0.0015668360010167, 4.53922635389809, 31.4607736461019, 87.3910379058386, 0, 
17, 1, 4, Forest, Non-Forest, 0, 0, 6.92834566347917e-05, 0.200740640664567, 0.200740640664567, 0, 100, 
17, 2, 1, Other Vegetation, Forest, 104, 0.0695624255882707, 0.00502558444478034, 7.50870102830163, 96.4912989716984, 92.7800951650946, 0, 
17, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.0314901121047991, 0, 0, 0, 0, 
17, 2, 3, Other Vegetation, Cropland, 8, 0.00535095581448236, 0.0015668360010167, 2.34242518676107, 5.65757481323893, 70.7196851654866, 0, 
17, 2, 4, Other Vegetation, Non-Forest, 0, 0, 6.92834566347917e-05, 0.103582996442292, 0.103582996442292, 0, 100, 
17, 3, 1, Cropland, Forest, 2, 0.00820681165367255, 0.00502558444478034, 1.22469596563402, 0.775304034365983, 38.7652017182991, 0, 
17, 3, 2, Cropland, Other Vegetation, 12, 0.0492408699220353, 0.0314901121047991, 7.67277767277767, 4.32722232722233, 36.0601860601861, 0, 
17, 3, 3, Cropland, Cropland, 0, 0, 0.0015668360010167, 0, 0, 0, 0, 
17, 3, 4, Cropland, Non-Forest, 2, 0.00820681165367255, 6.92834566347917e-05, 0.0168830044098951, 1.9831169955901, 99.1558497795052, 0, 
17, 4, 1, Non-Forest, Forest, 25, 0.257519571487433, 0.00502558444478034, 0.486651798885188, 24.5133482011148, 98.0533928044592, 0, 
17, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.0314901121047991, 3.05802305802306, 3.05802305802306, 0, 100, 
17, 4, 3, Non-Forest, Cropland, 1, 0.0103007828594973, 0.0015668360010167, 0.152095153700315, 0.847904846299685, 84.7904846299685, 0, 
17, 4, 4, Non-Forest, Non-Forest, 0, 0, 6.92834566347917e-05, 0, 0, 0, 0, 
18, 1, 1, Forest, Forest, 0, 0, 0.00425708171295764, 0, 0, 0, 0, 
18, 1, 2, Forest, Other Vegetation, 1309, 0.452972524050107, 0.047739719118574, 137.398921244667, 1171.60107875533, 89.503520149376, 0, 
18, 1, 3, Forest, Cropland, 98, 0.0339123814796872, 0.00463091760761922, 13.3785069508766, 84.6214930491234, 86.3484622950239, 0, 
18, 1, 4, Forest, Non-Forest, 0, 0, 0.000103924320923846, 0.300320814712096, 0.300320814712096, 0, 100, 
18, 2, 1, Other Vegetation, Forest, 107, 0.0712103767494792, 0.00425708171295764, 6.39236546186123, 100.607634538139, 94.0258266711577, 0, 
18, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.047739719118574, 0, 0, 0, 0, 
18, 2, 3, Other Vegetation, Cropland, 35, 0.0232931138900166, 0.00463091760761922, 6.95707184313486, 28.0429281568651, 80.1226518767576, 0, 
18, 2, 4, Other Vegetation, Non-Forest, 1, 0.000665517539714759, 0.000103924320923846, 0.156154768416535, 0.843845231583465, 84.3845231583466, 0, 
18, 3, 1, Cropland, Forest, 3, 0.0122955858846674, 0.00425708171295764, 1.03860186882337, 1.96139813117663, 65.3799377058876, 0, 
18, 3, 2, Cropland, Other Vegetation, 2, 0.00819705725644494, 0.047739719118574, 11.6526222024679, 9.65262220246791, 0, 82.8364812207125, 
18, 3, 3, Cropland, Cropland, 0, 0, 0.00463091760761922, 0, 0, 0, 0, 
18, 3, 4, Cropland, Non-Forest, 2, 0.00819705725644494, 0.000103924320923846, 0.0253544429252233, 1.97464555707478, 98.7322778537388, 0, 
