Interval*, Id_From*, Id_To*, Category_name_from, Category_name_To, Number_of_pixels, 
8, 4, 2, Non-Forest, Other Vegetation, 1, 
8, 4, 3, Non-Forest, Cropland, 1, 
8, 4, 4, Non-Forest, Non-Forest, 9681, 
9, 1, 1, Forest, Forest, 286374, 
9, 1, 2, Forest, Other Vegetation, 2353, 
9, 1, 3, Forest, Cropland, 253, 
9, 1, 4, Forest, Non-Forest, 0, 
9, 2, 1, Other Vegetation, Forest, 149, 
9, 2, 2, Other Vegetation, Other Vegetation, 150052, 
9, 2, 3, Other Vegetation, Cropland, 57, 
9, 2, 4, Other Vegetation, Non-Forest, 1, 
9, 3, 1, Cropland, Forest, 8, 
9, 3, 2, Cropland, Other Vegetation, 20, 
9, 3, 3, Cropland, Cropland, 24368, 
9, 3, 4, Cropland, Non-Forest, 3, 
9, 4, 1, Non-Forest, Forest, 9, 
9, 4, 2, Non-Forest, Other Vegetation, 1, 
9, 4, 3, Non-Forest, Cropland, 1, 
9, 4, 4, Non-Forest, Non-Forest, 9673, 
10, 1, 1, Forest, Forest, 285837, 
10, 1, 2, Forest, Other Vegetation, 627, 
10, 1, 3, Forest, Cropland, 75, 
10, 1, 4, Forest, Non-Forest, 1, 
10, 2, 1, Other Vegetation, Forest, 110, 
10, 2, 2, Other Vegetation, Other Vegetation, 152084, 
10, 2, 3, Other Vegetation, Cropland, 226, 
10, 2, 4, Other Vegetation, Non-Forest, 6, 
10, 3, 1, Cropland, Forest, 6, 
10, 3, 2, Cropland, Other Vegetation, 0, 
10, 3, 3, Cropland, Cropland, 24649, 
10, 3, 4, Cropland, Non-Forest, 24, 
10, 4, 1, Non-Forest, Forest, 1, 
10, 4, 2, Non-Forest, Other Vegetation, 0, 
10, 4, 3, Non-Forest, Cropland, 0, 
10, 4, 4, Non-Forest, Non-Forest, 9676, 
11, 1, 1, Forest, Forest, 284878, 
11, 1, 2, Forest, Other Vegetation, 974, 
11, 1, 3, Forest, Cropland, 100, 
11, 1, 4, Forest, Non-Forest, 2, 
11, 2, 1, Other Vegetation, Forest, 48, 
11, 2, 2, Other Vegetation, Other Vegetation, 152632, 
11, 2, 3, Other Vegetation, Cropland, 23, 
11, 2, 4, Other Vegetation, Non-Forest, 8, 
11, 3, 1, Cropland, Forest, 27, 
11, 3, 2, Cropland, Other Vegetation, 7, 
11, 3, 3, Cropland, Cropland, 24890, 
11, 3, 4, Cropland, Non-Forest, 26, 
11, 4, 1, Non-Forest, Forest, 1, 
11, 4, 2, Non-Forest, Other Vegetation, 0, 
11, 4, 3, Non-Forest, Cropland, 0, 
11, 4, 4, Non-Forest, Non-Forest, 9706, 
