Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
14,3,Shrubland,59,0.14,0.07,31,28,47.58,0.00,0.04
14,4,Other Vegetation,0,0.00,0.07,0,0,0.00,100.00,0.04
14,5,Cropland,37,0.32,0.07,8,29,77.22,0.00,0.04
14,6,Non-Vegetation,0,0.00,0.07,4,4,0.00,100.00,0.04
15,1,Forest,9,0.01,0.21,310,301,0.00,97.09,0.14
15,2,Mosaic Vegetation,122,0.89,0.21,29,93,76.13,0.00,0.14
15,3,Shrubland,252,0.59,0.21,91,161,63.99,0.00,0.14
15,4,Other Vegetation,1,0.44,0.21,0,1,51.32,0.00,0.14
15,5,Cropland,80,0.69,0.21,25,55,68.98,0.00,0.14
15,6,Non-Vegetation,2,0.04,0.21,11,9,0.00,81.89,0.14
16,1,Forest,58,0.04,0.20,291,233,0.00,80.08,0.11
16,2,Mosaic Vegetation,192,1.39,0.20,28,164,85.59,0.00,0.11
16,3,Shrubland,162,0.38,0.20,86,76,47.05,0.00,0.11
16,4,Other Vegetation,1,0.44,0.20,0,1,53.95,0.00,0.11
16,5,Cropland,25,0.22,0.20,24,1,5.91,0.00,0.11
16,6,Non-Vegetation,1,0.02,0.20,10,9,0.00,90.38,0.11
17,1,Forest,29,0.02,0.27,386,357,0.00,92.48,0.18
17,2,Mosaic Vegetation,262,1.86,0.27,37,225,85.77,0.00,0.18
17,3,Shrubland,274,0.64,0.27,114,160,58.25,0.00,0.18
17,4,Other Vegetation,0,0.00,0.27,1,1,0.00,100.00,0.18
17,5,Cropland,16,0.14,0.27,31,15,0.00,48.91,0.18
17,6,Non-Vegetation,2,0.04,0.27,14,12,0.00,85.47,0.18
18,1,Forest,1,0.00,0.32,454,453,0.00,99.78,0.22
18,2,Mosaic Vegetation,220,1.54,0.32,45,175,79.59,0.00,0.22
18,3,Shrubland,442,1.03,0.32,136,306,69.22,0.00,0.22
18,4,Other Vegetation,1,0.44,0.32,1,0,27.32,0.00,0.22
18,5,Cropland,22,0.19,0.32,37,15,0.00,40.66,0.22
18,6,Non-Vegetation,3,0.06,0.32,16,13,0.00,81.57,0.22
19,1,Forest,19,0.01,0.22,318,299,0.00,94.03,0.14
19,2,Mosaic Vegetation,84,0.58,0.22,32,52,61.88,0.00,0.14
19,3,Shrubland,344,0.79,0.22,97,247,71.92,0.00,0.14
19,4,Other Vegetation,0,0.00,0.22,1,1,0.00,100.00,0.14
19,5,Cropland,37,0.32,0.22,26,11,29.53,0.00,0.14
19,6,Non-Vegetation,1,0.02,0.22,11,10,0.00,91.27,0.14
20,1,Forest,7,0.00,0.04,50,43,0.00,86.12,0.02
20,2,Mosaic Vegetation,37,0.26,0.04,5,32,86.21,0.00,0.02
20,3,Shrubland,20,0.05,0.04,15,5,22.88,0.00,0.02
20,4,Other Vegetation,0,0.00,0.04,0,0,0.00,100.00,0.02
20,5,Cropland,9,0.08,0.04,4,5,53.95,0.00,0.02
20,6,Non-Vegetation,4,0.08,0.04,2,2,54.63,0.00,0.02
21,1,Forest,5,0.00,0.17,236,231,0.00,97.88,0.11
21,2,Mosaic Vegetation,119,0.82,0.17,24,95,79.88,0.00,0.11
21,3,Shrubland,186,0.43,0.17,72,114,61.17,0.00,0.11
21,4,Other Vegetation,0,0.00,0.17,0,0,0.00,100.00,0.11
