Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
14,4,Other Vegetation,0,0.00,0.14,0,0,0.00,100.00,0.02
14,5,Cropland,1,0.04,0.14,3,2,0.00,69.92,0.02
14,6,Non-Vegetation,0,0.00,0.14,5,5,0.00,100.00,0.02
15,1,Forest,152,0.23,0.28,190,38,0.00,19.92,0.05
15,2,Mosaic Vegetation,18,0.22,0.28,24,6,0.00,23.82,0.05
15,3,Shrubland,99,0.56,0.28,50,49,49.46,0.00,0.05
15,4,Other Vegetation,0,0.00,0.28,0,0,0.00,100.00,0.05
15,5,Cropland,3,0.12,0.28,7,4,0.00,56.59,0.05
15,6,Non-Vegetation,8,0.24,0.28,10,2,0.00,16.62,0.05
16,1,Forest,123,0.18,0.18,120,3,2.56,0.00,0.01
16,2,Mosaic Vegetation,17,0.20,0.18,15,2,11.50,0.00,0.01
16,3,Shrubland,34,0.19,0.18,32,2,6.91,0.00,0.01
16,4,Other Vegetation,0,0.00,0.18,0,0,0.00,100.00,0.01
16,5,Cropland,2,0.08,0.18,4,2,0.00,54.25,0.01
16,6,Non-Vegetation,1,0.03,0.18,6,5,0.00,83.49,0.01
17,1,Forest,196,0.29,0.28,184,12,6.15,0.00,0.02
17,2,Mosaic Vegetation,26,0.31,0.28,23,3,10.63,0.00,0.02
17,3,Shrubland,46,0.26,0.28,49,3,0.00,5.59,0.02
17,4,Other Vegetation,0,0.00,0.28,0,0,0.00,100.00,0.02
17,5,Cropland,1,0.04,0.28,7,6,0.00,85.18,0.02
17,6,Non-Vegetation,3,0.09,0.28,9,6,0.00,67.78,0.02
18,1,Forest,547,0.82,0.56,368,179,32.70,0.00,0.18
18,2,Mosaic Vegetation,0,0.00,0.56,47,47,0.00,100.00,0.18
18,3,Shrubland,0,0.00,0.56,99,99,0.00,100.00,0.18
18,4,Other Vegetation,0,0.00,0.56,0,0,0.00,100.00,0.18
18,5,Cropland,0,0.00,0.56,14,14,0.00,100.00,0.18
18,6,Non-Vegetation,0,0.00,0.56,19,19,0.00,100.00,0.18
19,1,Forest,579,0.88,0.61,397,182,31.41,0.00,0.19
19,2,Mosaic Vegetation,0,0.00,0.61,53,53,0.00,100.00,0.19
19,3,Shrubland,13,0.07,0.61,109,96,0.00,88.07,0.19
19,4,Other Vegetation,0,0.00,0.61,0,0,0.00,100.00,0.19
19,5,Cropland,0,0.00,0.61,15,15,0.00,100.00,0.19
19,6,Non-Vegetation,3,0.09,0.61,20,17,0.00,85.31,0.19
20,1,Forest,29,0.04,0.05,35,6,0.00,17.53,0.01
20,2,Mosaic Vegetation,13,0.15,0.05,5,8,63.05,0.00,0.01
