"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"63",11,"2002-2003","Shrubland","Loss",43,0.12,0.21,78,35,0,44.8,0.04
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.21,0,0,0,100,0.04
"65",11,"2002-2003","Cropland","Loss",9,0.08,0.21,24,15,0,62.24,0.04
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.21,11,11,0,100,0.04
"67",12,"2003-2004","Forest","Loss",6003,3.98,2.81,4181,1822,30.35,0,0.84
"68",12,"2003-2004","Mosaic Vegetation","Loss",0,0,2.81,358,358,0,100,0.84
"69",12,"2003-2004","Shrubland","Loss",78,0.21,2.81,1063,985,0,92.66,0.84
"70",12,"2003-2004","Other Vegetation","Loss",0,0,2.81,7,7,0,100,0.84
"71",12,"2003-2004","Cropland","Loss",1,0.01,2.81,324,323,0,99.69,0.84
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,2.81,148,148,0,100,0.84
"73",13,"2004-2005","Forest","Loss",622,0.43,0.3,438,184,29.51,0,0.08
"74",13,"2004-2005","Mosaic Vegetation","Loss",4,0.03,0.3,40,36,0,90.11,0.08
"75",13,"2004-2005","Shrubland","Loss",25,0.06,0.3,127,102,0,80.34,0.08
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.3,1,1,0,100,0.08
"77",13,"2004-2005","Cropland","Loss",0,0,0.3,35,35,0,100,0.08
"78",13,"2004-2005","Non-Vegetation","Loss",6,0.12,0.3,16,10,0,61.56,0.08
"79",14,"2005-2006","Forest","Loss",83,0.06,0.07,106,23,0,21.55,0.02
"80",14,"2005-2006","Mosaic Vegetation","Loss",3,0.02,0.07,10,7,0,69.71,0.02
"81",14,"2005-2006","Shrubland","Loss",68,0.16,0.07,31,37,54.52,0,0.02
"82",14,"2005-2006","Other Vegetation","Loss",0,0,0.07,0,0,0,100,0.02
"83",14,"2005-2006","Cropland","Loss",0,0,0.07,8,8,0,100,0.02
"84",14,"2005-2006","Non-Vegetation","Loss",5,0.1,0.07,4,1,24.65,0,0.02
"85",15,"2006-2007","Forest","Loss",366,0.25,0.21,310,56,15.36,0,0.03
"86",15,"2006-2007","Mosaic Vegetation","Loss",16,0.12,0.21,29,13,0,45.06,0.03
"87",15,"2006-2007","Shrubland","Loss",76,0.18,0.21,91,15,0,16.24,0.03
"88",15,"2006-2007","Other Vegetation","Loss",2,0.88,0.21,0,2,75.66,0,0.03
"89",15,"2006-2007","Cropland","Loss",0,0,0.21,25,25,0,100,0.03
"90",15,"2006-2007","Non-Vegetation","Loss",6,0.12,0.21,11,5,0,45.68,0.03
"91",16,"2007-2008","Forest","Loss",323,0.22,0.2,291,32,9.85,0,0.02
"92",16,"2007-2008","Mosaic Vegetation","Loss",4,0.03,0.2,28,24,0,85.54,0.02
"93",16,"2007-2008","Shrubland","Loss",102,0.24,0.2,86,16,15.91,0,0.02
"94",16,"2007-2008","Other Vegetation","Loss",0,0,0.2,0,0,0,100,0.02
"95",16,"2007-2008","Cropland","Loss",6,0.05,0.2,24,18,0,74.49,0.02
"96",16,"2007-2008","Non-Vegetation","Loss",4,0.08,0.2,10,6,0,61.54,0.02
"97",17,"2008-2009","Forest","Loss",541,0.38,0.27,386,155,28.72,0,0.08
"98",17,"2008-2009","Mosaic Vegetation","Loss",2,0.01,0.27,37,35,0,94.64,0.08
"99",17,"2008-2009","Shrubland","Loss",13,0.03,0.27,114,101,0,88.64,0.08
"100",17,"2008-2009","Other Vegetation","Loss",0,0,0.27,1,1,0,100,0.08
"101",17,"2008-2009","Cropland","Loss",4,0.03,0.27,31,27,0,87.23,0.08
"102",17,"2008-2009","Non-Vegetation","Loss",23,0.45,0.27,14,9,40.17,0,0.08
"103",18,"2009-2010","Forest","Loss",662,0.46,0.32,454,208,31.43,0,0.1
"104",18,"2009-2010","Mosaic Vegetation","Loss",2,0.01,0.32,45,43,0,95.55,0.1
"105",18,"2009-2010","Shrubland","Loss",22,0.05,0.32,136,114,0,83.83,0.1
"106",18,"2009-2010","Other Vegetation","Loss",0,0,0.32,1,1,0,100,0.1
"107",18,"2009-2010","Cropland","Loss",2,0.02,0.32,37,35,0,94.61,0.1
"108",18,"2009-2010","Non-Vegetation","Loss",1,0.02,0.32,16,15,0,93.86,0.1
"109",19,"2010-2011","Forest","Loss",405,0.28,0.22,318,87,21.4,0,0.04
"110",19,"2010-2011","Mosaic Vegetation","Loss",24,0.17,0.22,32,8,0,25.05,0.04
"111",19,"2010-2011","Shrubland","Loss",35,0.08,0.22,97,62,0,63.77,0.04
"112",19,"2010-2011","Other Vegetation","Loss",0,0,0.22,1,1,0,100,0.04
"113",19,"2010-2011","Cropland","Loss",21,0.18,0.22,26,5,0,19.46,0.04
"114",19,"2010-2011","Non-Vegetation","Loss",0,0,0.22,11,11,0,100,0.04
"115",20,"2011-2012","Forest","Loss",56,0.04,0.04,50,6,9.94,0,0
"116",20,"2011-2012","Mosaic Vegetation","Loss",3,0.02,0.04,5,2,0,41.21,0
"117",20,"2011-2012","Shrubland","Loss",13,0.03,0.04,15,2,0,15.72,0
"118",20,"2011-2012","Other Vegetation","Loss",2,0.87,0.04,0,2,95.97,0,0
"119",20,"2011-2012","Cropland","Loss",2,0.02,0.04,4,2,0,51.74,0
"120",20,"2011-2012","Non-Vegetation","Loss",1,0.02,0.04,2,1,0,44.89,0
"121",21,"2012-2013","Forest","Loss",335,0.24,0.17,236,99,29.69,0,0.05
"122",21,"2012-2013","Mosaic Vegetation","Loss",4,0.03,0.17,24,20,0,83.3,0.05
"123",21,"2012-2013","Shrubland","Loss",15,0.03,0.17,72,57,0,79.23,0.05
"124",21,"2012-2013","Other Vegetation","Loss",2,0.88,0.17,0,2,81.29,0,0.05
"125",21,"2012-2013","Cropland","Loss",4,0.03,0.17,19,15,0,79.39,0.05
"126",21,"2012-2013","Non-Vegetation","Loss",0,0,0.17,9,9,0,100,0.05
"127",22,"2013-2014","Forest","Loss",640,0.45,0.33,460,180,28.13,0,0.08
"128",22,"2013-2014","Mosaic Vegetation","Loss",10,0.07,0.33,47,37,0,78.87,0.08
"129",22,"2013-2014","Shrubland","Loss",22,0.05,0.33,142,120,0,84.53,0.08
"130",22,"2013-2014","Other Vegetation","Loss",0,0,0.33,1,1,0,100,0.08
"131",22,"2013-2014","Cropland","Loss",33,0.28,0.33,38,5,0,13.4,0.08
"132",22,"2013-2014","Non-Vegetation","Loss",0,0,0.33,17,17,0,100,0.08
"133",23,"2014-2015","Forest","Loss",0,0,0,1,1,0,100,0
"134",23,"2014-2015","Mosaic Vegetation","Loss",0,0,0,0,0,0,100,0
"135",23,"2014-2015","Shrubland","Loss",0,0,0,0,0,0,100,0
"136",23,"2014-2015","Other Vegetation","Loss",1,0.44,0,0,1,99.9,0,0
"137",23,"2014-2015","Cropland","Loss",0,0,0,0,0,0,100,0
"138",23,"2014-2015","Non-Vegetation","Loss",0,0,0,0,0,0,100,0
"139",1,"1992-1993","Forest","Gain",0,0,0,0,0,0,0,0
"140",1,"1992-1993","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"141",1,"1992-1993","Shrubland","Gain",0,0,0,0,0,0,0,0
"142",1,"1992-1993","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"143",1,"1992-1993","Cropland","Gain",0,0,0,0,0,0,0,0
"144",1,"1992-1993","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
"145",2,"1993-1994","Forest","Gain",0,0,0,0,0,0,0,0
"146",2,"1993-1994","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"147",2,"1993-1994","Shrubland","Gain",0,0,0,0,0,0,0,0
"148",2,"1993-1994","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"149",2,"1993-1994","Cropland","Gain",0,0,0,0,0,0,0,0
"150",2,"1993-1994","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
"151",3,"1994-1995","Forest","Gain",110,0.06,0.86,1494,1384,0,92.64,0.66
"152",3,"1994-1995","Mosaic Vegetation","Gain",291,3.59,0.86,68,223,76.7,0,0.66
"153",3,"1994-1995","Shrubland","Gain",468,2.08,0.86,192,276,59.06,0,0.66
"154",3,"1994-1995","Other Vegetation","Gain",14,6.45,0.86,2,12,87.41,0,0.66
"155",3,"1994-1995","Cropland","Gain",983,11.41,0.86,66,917,93.26,0,0.66
