Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
14,3,Shrubland,24,0.05,0.14,66,42,0.00,63.56,0.03
14,4,Other Vegetation,0,0.00,0.14,1,1,0.00,100.00,0.03
14,5,Cropland,11,0.11,0.14,14,3,0.00,23.65,0.03
14,6,Non-Vegetation,0,0.00,0.14,2,2,0.00,100.00,0.03
15,1,Forest,53,0.07,0.19,150,97,0.00,64.75,0.07
15,2,Mosaic Vegetation,89,0.46,0.19,36,53,59.61,0.00,0.07
15,3,Shrubland,147,0.31,0.19,88,59,39.87,0.00,0.07
15,4,Other Vegetation,8,0.92,0.19,2,6,79.70,0.00,0.07
15,5,Cropland,1,0.01,0.19,19,18,0.00,94.84,0.07
15,6,Non-Vegetation,0,0.00,0.19,2,2,0.00,100.00,0.07
16,1,Forest,84,0.11,0.18,141,57,0.00,40.48,0.08
16,2,Mosaic Vegetation,116,0.60,0.18,34,82,70.77,0.00,0.08
16,3,Shrubland,21,0.04,0.18,83,62,0.00,74.72,0.08
16,4,Other Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.08
16,5,Cropland,59,0.57,0.18,18,41,69.20,0.00,0.08
16,6,Non-Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.08
17,1,Forest,56,0.07,0.15,121,65,0.00,53.85,0.06
17,2,Mosaic Vegetation,120,0.62,0.15,29,91,75.56,0.00,0.06
17,3,Shrubland,58,0.12,0.15,71,13,0.00,18.78,0.06
17,4,Other Vegetation,0,0.00,0.15,1,1,0.00,100.00,0.06
17,5,Cropland,7,0.07,0.15,16,9,0.00,55.45,0.06
17,6,Non-Vegetation,0,0.00,0.15,2,2,0.00,100.00,0.06
18,1,Forest,110,0.14,0.24,195,85,0.00,43.50,0.06
18,2,Mosaic Vegetation,122,0.63,0.24,47,75,61.18,0.00,0.06
18,3,Shrubland,121,0.26,0.24,115,6,5.33,0.00,0.06
18,4,Other Vegetation,0,0.00,0.24,2,2,0.00,100.00,0.06
18,5,Cropland,34,0.33,0.24,25,9,25.71,0.00,0.06
18,6,Non-Vegetation,0,0.00,0.24,3,3,0.00,100.00,0.06
19,1,Forest,35,0.04,0.18,145,110,0.00,75.80,0.07
19,2,Mosaic Vegetation,89,0.46,0.18,35,54,60.18,0.00,0.07
19,3,Shrubland,141,0.30,0.18,85,56,39.49,0.00,0.07
19,4,Other Vegetation,0,0.00,0.18,2,2,0.00,100.00,0.07
19,5,Cropland,23,0.22,0.18,19,4,18.07,0.00,0.07
