"","ColA","ColB","ColC","ColD","ColE","ColF","ColG","ColH","ColI","ColJ","ColK","ColL"
"64",11,"2002-2003","Other Vegetation","Loss",0,0,0.97,0,0,0,100,0.2
"65",11,"2002-2003","Cropland","Loss",2,0.09,0.97,21,19,0,90.58,0.2
"66",11,"2002-2003","Non-Vegetation","Loss",0,0,0.97,33,33,0,100,0.2
"67",12,"2003-2004","Forest","Loss",3152,4.51,3.22,2223,929,29.48,0,0.95
"68",12,"2003-2004","Mosaic Vegetation","Loss",0,0,3.22,256,256,0,100,0.95
"69",12,"2003-2004","Shrubland","Loss",15,0.1,3.22,501,486,0,97,0.95
"70",12,"2003-2004","Other Vegetation","Loss",0,0,3.22,0,0,0,100,0.95
"71",12,"2003-2004","Cropland","Loss",0,0,3.22,75,75,0,100,0.95
"72",12,"2003-2004","Non-Vegetation","Loss",0,0,3.22,112,112,0,100,0.95
"73",13,"2004-2005","Forest","Loss",128,0.19,0.17,114,14,10.87,0,0.02
"74",13,"2004-2005","Mosaic Vegetation","Loss",9,0.11,0.17,14,5,0,35.71,0.02
"75",13,"2004-2005","Shrubland","Loss",23,0.13,0.17,30,7,0,23.48,0.02
"76",13,"2004-2005","Other Vegetation","Loss",0,0,0.17,0,0,0,100,0.02
"77",13,"2004-2005","Cropland","Loss",1,0.04,0.17,4,3,0,75.48,0.02
"78",13,"2004-2005","Non-Vegetation","Loss",7,0.21,0.17,6,1,17.71,0,0.02
"79",14,"2005-2006","Forest","Loss",103,0.15,0.14,92,11,10.46,0,0.02
"80",14,"2005-2006","Mosaic Vegetation","Loss",2,0.02,0.14,11,9,0,82.47,0.02
"81",14,"2005-2006","Shrubland","Loss",30,0.17,0.14,24,6,18.82,0,0.02
"82",14,"2005-2006","Other Vegetation","Loss",0,0,0.14,0,0,0,100,0.02
"83",14,"2005-2006","Cropland","Loss",1,0.04,0.14,3,2,0,69.92,0.02
"84",14,"2005-2006","Non-Vegetation","Loss",0,0,0.14,5,5,0,100,0.02
"85",15,"2006-2007","Forest","Loss",152,0.23,0.28,190,38,0,19.92,0.05
"86",15,"2006-2007","Mosaic Vegetation","Loss",18,0.22,0.28,24,6,0,23.82,0.05
"87",15,"2006-2007","Shrubland","Loss",99,0.56,0.28,50,49,49.46,0,0.05
"88",15,"2006-2007","Other Vegetation","Loss",0,0,0.28,0,0,0,100,0.05
"89",15,"2006-2007","Cropland","Loss",3,0.12,0.28,7,4,0,56.59,0.05
"90",15,"2006-2007","Non-Vegetation","Loss",8,0.24,0.28,10,2,0,16.62,0.05
"91",16,"2007-2008","Forest","Loss",123,0.18,0.18,120,3,2.56,0,0.01
"92",16,"2007-2008","Mosaic Vegetation","Loss",17,0.2,0.18,15,2,11.5,0,0.01
"93",16,"2007-2008","Shrubland","Loss",34,0.19,0.18,32,2,6.91,0,0.01
"94",16,"2007-2008","Other Vegetation","Loss",0,0,0.18,0,0,0,100,0.01
"95",16,"2007-2008","Cropland","Loss",2,0.08,0.18,4,2,0,54.25,0.01
"96",16,"2007-2008","Non-Vegetation","Loss",1,0.03,0.18,6,5,0,83.49,0.01
"97",17,"2008-2009","Forest","Loss",196,0.29,0.28,184,12,6.15,0,0.02
"98",17,"2008-2009","Mosaic Vegetation","Loss",26,0.31,0.28,23,3,10.63,0,0.02
"99",17,"2008-2009","Shrubland","Loss",46,0.26,0.28,49,3,0,5.59,0.02
"100",17,"2008-2009","Other Vegetation","Loss",0,0,0.28,0,0,0,100,0.02
"101",17,"2008-2009","Cropland","Loss",1,0.04,0.28,7,6,0,85.18,0.02
"102",17,"2008-2009","Non-Vegetation","Loss",3,0.09,0.28,9,6,0,67.78,0.02
"103",18,"2009-2010","Forest","Loss",547,0.82,0.56,368,179,32.7,0,0.18
"104",18,"2009-2010","Mosaic Vegetation","Loss",0,0,0.56,47,47,0,100,0.18
"105",18,"2009-2010","Shrubland","Loss",0,0,0.56,99,99,0,100,0.18
"106",18,"2009-2010","Other Vegetation","Loss",0,0,0.56,0,0,0,100,0.18
"107",18,"2009-2010","Cropland","Loss",0,0,0.56,14,14,0,100,0.18
"108",18,"2009-2010","Non-Vegetation","Loss",0,0,0.56,19,19,0,100,0.18
"109",19,"2010-2011","Forest","Loss",579,0.88,0.61,397,182,31.41,0,0.19
"110",19,"2010-2011","Mosaic Vegetation","Loss",0,0,0.61,53,53,0,100,0.19
"111",19,"2010-2011","Shrubland","Loss",13,0.07,0.61,109,96,0,88.07,0.19
"112",19,"2010-2011","Other Vegetation","Loss",0,0,0.61,0,0,0,100,0.19
"113",19,"2010-2011","Cropland","Loss",0,0,0.61,15,15,0,100,0.19
"114",19,"2010-2011","Non-Vegetation","Loss",3,0.09,0.61,20,17,0,85.31,0.19
"115",20,"2011-2012","Forest","Loss",29,0.04,0.05,35,6,0,17.53,0.01
"116",20,"2011-2012","Mosaic Vegetation","Loss",13,0.15,0.05,5,8,63.05,0,0.01
"117",20,"2011-2012","Shrubland","Loss",8,0.04,0.05,10,2,0,18.23,0.01
"118",20,"2011-2012","Other Vegetation","Loss",0,0,0.05,0,0,0,100,0.01
"119",20,"2011-2012","Cropland","Loss",3,0.11,0.05,1,2,52.41,0,0.01
"120",20,"2011-2012","Non-Vegetation","Loss",0,0,0.05,2,2,0,100,0.01
"121",21,"2012-2013","Forest","Loss",96,0.15,0.15,98,2,0,1.55,0.02
"122",21,"2012-2013","Mosaic Vegetation","Loss",5,0.06,0.15,13,8,0,62.52,0.02
"123",21,"2012-2013","Shrubland","Loss",34,0.19,0.15,27,7,20.18,0,0.02
"124",21,"2012-2013","Other Vegetation","Loss",0,0,0.15,0,0,0,100,0.02
"125",21,"2012-2013","Cropland","Loss",12,0.45,0.15,4,8,67.12,0,0.02
"126",21,"2012-2013","Non-Vegetation","Loss",0,0,0.15,5,5,0,100,0.02
"127",22,"2013-2014","Forest","Loss",179,0.27,0.22,142,37,20.44,0,0.04
"128",22,"2013-2014","Mosaic Vegetation","Loss",10,0.11,0.22,20,10,0,48.89,0.04
"129",22,"2013-2014","Shrubland","Loss",14,0.08,0.22,40,26,0,64.8,0.04
"130",22,"2013-2014","Other Vegetation","Loss",0,0,0.22,0,0,0,100,0.04
"131",22,"2013-2014","Cropland","Loss",11,0.41,0.22,6,5,47.07,0,0.04
"132",22,"2013-2014","Non-Vegetation","Loss",1,0.03,0.22,7,6,0,86.43,0.04
"133",23,"2014-2015","Forest","Loss",0,0,0,0,0,0,0,0
"134",23,"2014-2015","Mosaic Vegetation","Loss",0,0,0,0,0,0,0,0
"135",23,"2014-2015","Shrubland","Loss",0,0,0,0,0,0,0,0
"136",23,"2014-2015","Other Vegetation","Loss",0,0,0,0,0,0,0,0
"137",23,"2014-2015","Cropland","Loss",0,0,0,0,0,0,0,0
"138",23,"2014-2015","Non-Vegetation","Loss",0,0,0,0,0,0,0,0
"139",1,"1992-1993","Forest","Gain",0,0,0,0,0,0,0,0
"140",1,"1992-1993","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"141",1,"1992-1993","Shrubland","Gain",0,0,0,0,0,0,0,0
"142",1,"1992-1993","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"143",1,"1992-1993","Cropland","Gain",0,0,0,0,0,0,0,0
"144",1,"1992-1993","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
"145",2,"1993-1994","Forest","Gain",0,0,0,0,0,0,0,0
"146",2,"1993-1994","Mosaic Vegetation","Gain",0,0,0,0,0,0,0,0
"147",2,"1993-1994","Shrubland","Gain",0,0,0,0,0,0,0,0
"148",2,"1993-1994","Other Vegetation","Gain",0,0,0,0,0,0,0,0
"149",2,"1993-1994","Cropland","Gain",0,0,0,0,0,0,0,0
"150",2,"1993-1994","Non-Vegetation","Gain",0,0,0,0,0,0,0,0
"151",3,"1994-1995","Forest","Gain",48,0.06,0.2,158,110,0,69.69,0.12
"152",3,"1994-1995","Mosaic Vegetation","Gain",56,1.33,0.2,8,48,85.48,0,0.12
"153",3,"1994-1995","Shrubland","Gain",16,0.19,0.2,17,1,0,3.35,0.12
"154",3,"1994-1995","Other Vegetation","Gain",0,0,0.2,0,0,0,100,0.12
"155",3,"1994-1995","Cropland","Gain",72,5.7,0.2,2,70,96.76,0,0.12
"156",3,"1994-1995","Non-Vegetation","Gain",0,0,0.2,7,7,0,100,0.12
"157",4,"1995-1996","Forest","Gain",0,0,0.07,57,57,0,100,0.07
"158",4,"1995-1996","Mosaic Vegetation","Gain",46,1.08,0.07,3,43,93.57,0,0.07
"159",4,"1995-1996","Shrubland","Gain",0,0,0.07,6,6,0,100,0.07
"160",4,"1995-1996","Other Vegetation","Gain",0,0,0.07,0,0,0,100,0.07
"161",4,"1995-1996","Cropland","Gain",23,1.79,0.07,1,22,96.14,0,0.07
"162",4,"1995-1996","Non-Vegetation","Gain",0,0,0.07,2,2,0,100,0.07
"163",5,"1996-1997","Forest","Gain",0,0,0.04,30,30,0,100,0.03
"164",5,"1996-1997","Mosaic Vegetation","Gain",15,0.35,0.04,2,13,89.6,0,0.03
"165",5,"1996-1997","Shrubland","Gain",6,0.07,0.04,3,3,48.25,0,0.03
"166",5,"1996-1997","Other Vegetation","Gain",0,0,0.04,0,0,0,100,0.03
