Category Transitions,From WTR,To WTR,UI From,UI To
FOR,0.00,0.00,0.00,0.01
MNG,0.03,0.02,0.00,0.01
OPM,0.00,0.00,0.00,0.01
RBM,0.00,0.00,0.00,0.01
SHB,0.00,0.00,0.00,0.01
RPD,0.01,0.00,0.00,0.01
BUA,0.00,0.02,0.00,0.01
BSG,0.81,0.83,0.00,0.01
