Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.19,0.11,0.14,0.11
OPM,0.32,0.01,0.14,0.11
RBM,0.01,0.00,0.14,0.11
SHB,0.07,0.03,0.14,0.11
RPD,0.19,0.31,0.14,0.11
BUA,0.18,0.66,0.14,0.11
BSG,0.47,0.86,0.14,0.11
WTR,0.19,0.28,0.14,0.11
