Categories,Loss Intensity,Gain Intensity,Uniform Intensity
FOR,1.36,0.82,1.78
MNG,1.22,1.03,1.78
OPM,3.40,4.21,1.78
RBM,3.73,4.64,1.78
SHB,1.76,1.54,1.78
RPD,3.05,3.13,1.78
BUA,4.47,3.28,1.78
BSG,4.09,1.73,1.78
WTR,1.88,1.13,1.78
