"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",42884,4004,1227,163,170,225197,195,508,93293
"BUA",1420,24366,8398,84,2807,307174,153,44248,3945
"FOR",3085,237,13371017,200,7484,168838,40325,1319418,259376
"MNG",96,1143,122,7417,3993,154096,212,1134,23943
"OPM",477,209,24017,1234,67587,170244,11043,11370,7518
"RPD",55664,92039,288195,7637,57472,18609525,65650,371788,310321
"RBR",181,1,28931,229,16424,44944,30063,5421,7056
"SHB",1654,2425,983355,933,66085,1272004,55467,3350220,62017
"WTR",35737,149,17660,2862,587,95803,64,837,511936
