Interval*, Id_From*, Id_To_*, Category_name_From, Category_name_To_, Observed_Annual_Transition_number_of_elements, Transition_Intensity_percent_of_t2_category, Uniform_Intensity_percent_of_t2_non_category, Uniform_Annual_Transition_number_of_elements, Hypothesized_Annual_error_number_of_elements, Commission_Intensity_percent_of_transition, Omission_Intensity_percent_of_transition, 
15, 3, 1, Cropland, Forest, 4, 0.0013787778513126, 0.000174088403483996, 0.505045264804591, 3.49495473519541, 87.3738683798852, 0, 
15, 3, 2, Cropland, Other Vegetation, 0, 0, 0.000174088403483996, 0.259743831950082, 0.259743831950082, 0, 100, 
15, 3, 3, Cropland, Cropland, 0, 0, 0.000174088403483996, 0, 0, 0, 0, 
15, 3, 4, Cropland, Non-Forest, 1, 0.0102965403624382, 0.000174088403483996, 0.0169057542932886, 0.983094245706711, 98.3094245706711, 0, 
15, 4, 1, Non-Forest, Forest, 12, 0.00413633355393779, 0.000484984868472104, 1.40694792692212, 10.5930520730779, 88.2754339423156, 0, 
15, 4, 2, Non-Forest, Other Vegetation, 1, 0.000670232302516052, 0.000484984868472104, 0.723605782987618, 0.276394217012382, 27.6394217012382, 0, 
15, 4, 3, Non-Forest, Cropland, 1, 0.00411590385248601, 0.000484984868472104, 0.117827645241548, 0.882172354758452, 88.2172354758452, 0, 
15, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000484984868472104, 0, 0, 0, 0, 
16, 1, 1, Forest, Forest, 0, 0, 0.021560140900508, 0, 0, 0, 0, 
16, 1, 2, Forest, Other Vegetation, 544, 0.363864995384801, 0.021560140900508, 32.1233429262116, 511.876657073788, 94.0949737267993, 0, 
16, 1, 3, Forest, Cropland, 18, 0.0738613048830529, 0.021560140900508, 5.25145773377845, 12.7485422662216, 70.825234812342, 0, 
16, 1, 4, Forest, Non-Forest, 0, 0, 0.021560140900508, 2.09350984229308, 2.09350984229308, 0, 100, 
16, 2, 1, Other Vegetation, Forest, 166, 0.0572931406995285, 0.00880995043856807, 25.5133974016366, 140.486602598363, 84.63048349299, 0, 
16, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.00880995043856807, 0, 0, 0, 0, 
16, 2, 3, Other Vegetation, Cropland, 76, 0.311858842839557, 0.00880995043856807, 2.14047793459092, 73.8595220654091, 97.183581665012, 0, 
16, 2, 4, Other Vegetation, Non-Forest, 0, 0, 0.00880995043856807, 0.85534534407708, 0.85534534407708, 0, 100, 
16, 3, 1, Cropland, Forest, 18, 0.006212509232479, 0.000696371556007423, 2.01754172165139, 15.9824582783486, 88.7914348797145, 0, 
16, 3, 2, Cropland, Other Vegetation, 1, 0.000668869476810295, 0.000696371556007423, 1.04111754485535, 0.0411175448553453, 0, 3.94936624193171, 
16, 3, 3, Cropland, Cropland, 0, 0, 0.000696371556007423, 0, 0, 0, 0, 
16, 3, 4, Cropland, Non-Forest, 1, 0.0103007828594973, 0.000696371556007423, 0.0675972576697157, 0.932402742330284, 93.2402742330284, 0, 
16, 4, 1, Non-Forest, Forest, 4, 0.00138055760721756, 0.000173208641586979, 0.501845194854863, 3.49815480514514, 87.4538701286284, 0, 
16, 4, 2, Non-Forest, Other Vegetation, 1, 0.000668869476810295, 0.000173208641586979, 0.258956028138832, 0.741043971861168, 74.1043971861168, 0, 
16, 4, 3, Non-Forest, Cropland, 0, 0, 0.000173208641586979, 0.0422110190678795, 0.0422110190678795, 0, 100, 
16, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000173208641586979, 0, 0, 0, 0, 
17, 1, 1, Forest, Forest, 0, 0, 0.0340950057911652, 0, 0, 0, 0, 
17, 1, 2, Forest, Other Vegetation, 853, 0.56768646137669, 0.0340950057911652, 50.9573582666003, 802.0426417334, 94.0261010238452, 0, 
17, 1, 3, Forest, Cropland, 36, 0.147547030616009, 0.0340950057911652, 8.30939935109155, 27.6906006489085, 76.9183351358568, 0, 
17, 1, 4, Forest, Non-Forest, 0, 0, 0.0340950057911652, 3.30288648015312, 3.30288648015312, 0, 100, 
17, 2, 1, Other Vegetation, Forest, 104, 0.0359886497335456, 0.00407845045101472, 11.7821450538213, 92.2178549461787, 88.6710143713256, 0, 
17, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.00407845045101472, 0, 0, 0, 0, 
17, 2, 3, Other Vegetation, Cropland, 8, 0.0327882290257797, 0.00407845045101472, 0.994815422561088, 7.00518457743891, 87.5648072179864, 0, 
17, 2, 4, Other Vegetation, Non-Forest, 0, 0, 0.00407845045101472, 0.39497325046458, 0.39497325046458, 0, 100, 
17, 3, 1, Cropland, Forest, 2, 0.000692089417952799, 0.00055710287008953, 1.60991370080276, 0.390086299197245, 19.5043149598622, 0, 
17, 3, 2, Cropland, Other Vegetation, 12, 0.00798621047657711, 0.00055710287008953, 0.837035012369496, 11.1629649876305, 93.0247082302542, 0, 
17, 3, 3, Cropland, Cropland, 0, 0, 0.00055710287008953, 0, 0, 0, 0, 
17, 3, 4, Cropland, Non-Forest, 2, 0.0206526228831062, 0.00055710287008953, 0.0539390003777873, 1.94606099962221, 97.3030499811106, 0, 
17, 4, 1, Non-Forest, Forest, 25, 0.00865111772440999, 0.000900677448006662, 2.6025759607024, 22.3974240392976, 89.5896961571904, 0, 
17, 4, 2, Non-Forest, Other Vegetation, 0, 0, 0.000900677448006662, 1.35336111601869, 1.35336111601869, 0, 100, 
17, 4, 3, Non-Forest, Cropland, 1, 0.00409852862822247, 0.000900677448006662, 0.21974926299672, 0.78025073700328, 78.025073700328, 0, 
17, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000900677448006662, 0, 0, 0, 0, 
18, 1, 1, Forest, Forest, 0, 0, 0.0539345793102814, 0, 0, 0, 0, 
18, 1, 2, Forest, Other Vegetation, 1309, 0.86444293289836, 0.0539345793102814, 81.0092037422492, 1227.99079625775, 93.8113671701872, 0, 
18, 1, 3, Forest, Cropland, 98, 0.399592252803262, 0.0539345793102814, 13.1817091875186, 84.8182908124814, 86.5492763392667, 0, 
18, 1, 4, Forest, Non-Forest, 0, 0, 0.0539345793102814, 5.22692247063927, 5.22692247063927, 0, 100, 
18, 2, 1, Other Vegetation, Forest, 107, 0.0371935874084064, 0.00520952300805873, 14.9821704805033, 92.0178295194967, 85.9979715135483, 0, 
18, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.00520952300805873, 0, 0, 0, 0, 
18, 2, 3, Other Vegetation, Cropland, 35, 0.142711518858308, 0.00520952300805873, 1.27587865186551, 33.7241213481345, 96.3546324232414, 0, 
18, 2, 4, Other Vegetation, Non-Forest, 1, 0.0103241792277514, 0.00520952300805873, 0.504568588947221, 0.495431411052779, 49.5431411052779, 0, 
18, 3, 1, Cropland, Forest, 3, 0.00104281086191794, 0.000243743199129489, 0.701204581826184, 2.29879541817382, 76.6265139391272, 0, 
18, 3, 2, Cropland, Other Vegetation, 2, 0.00132076842306854, 0.000243743199129489, 0.369089038911259, 1.63091096108874, 81.5455480544371, 0, 
18, 3, 3, Cropland, Cropland, 0, 0, 0.000243743199129489, 0, 0, 0, 0, 
18, 3, 4, Cropland, Non-Forest, 2, 0.0206483584555028, 0.000243743199129489, 0.0236041489372074, 1.97639585106279, 98.8197925531396, 0, 
18, 4, 1, Non-Forest, Forest, 1, 0.000347603620639313, 3.46414643085529e-05, 0.0996576382896392, 0.900342361710361, 90.0342361710361, 0, 
18, 4, 2, Non-Forest, Other Vegetation, 0, 0, 3.46414643085529e-05, 0.0524565483302289, 0.0524565483302289, 0, 100, 
18, 4, 3, Non-Forest, Cropland, 0, 0, 3.46414643085529e-05, 0.00849582206474977, 0.00849582206474977, 0, 100, 
18, 4, 4, Non-Forest, Non-Forest, 0, 0, 3.46414643085529e-05, 0, 0, 0, 0, 
19, 1, 1, Forest, Forest, 0, 0, 0.0459411615948748, 0, 0, 0, 0, 
19, 1, 2, Forest, Other Vegetation, 1044, 0.68492251978009, 0.0459411615948748, 69.5786144692622, 974.421385530738, 93.3353817558178, 0, 
19, 1, 3, Forest, Cropland, 155, 0.628064346205276, 0.0459411615948748, 11.271788860262, 143.728211139738, 92.7278781546697, 0, 
19, 1, 4, Forest, Non-Forest, 0, 0, 0.0459411615948748, 4.44776956453905, 4.44776956453905, 0, 100, 
19, 2, 1, Other Vegetation, Forest, 42, 0.0146576394220702, 0.00233238361587974, 6.68238827075233, 35.3176117292477, 84.089551736304, 0, 
19, 2, 2, Other Vegetation, Other Vegetation, 0, 0, 0.00233238361587974, 0, 0, 0, 0, 
19, 2, 3, Other Vegetation, Cropland, 22, 0.0891446168807488, 0.00233238361587974, 0.575109241921201, 21.4248907580788, 97.3858670821764, 0, 
19, 2, 4, Other Vegetation, Non-Forest, 0, 0, 0.00233238361587974, 0.22571002693237, 0.22571002693237, 0, 100, 
19, 3, 1, Cropland, Forest, 5, 0.00174495707405598, 0.000835735783524932, 2.3946955406507, 2.6053044593493, 52.106089186986, 0, 
19, 3, 2, Cropland, Other Vegetation, 18, 0.0118090089617257, 0.000835735783524932, 1.27373883804594, 16.7262611619541, 92.923673121967, 0, 
19, 3, 3, Cropland, Cropland, 0, 0, 0.000835735783524932, 0, 0, 0, 0, 
19, 3, 4, Cropland, Non-Forest, 1, 0.0103337811305157, 0.000835735783524932, 0.080866470243901, 0.919133529756099, 91.9133529756099, 0, 
19, 4, 1, Non-Forest, Forest, 8, 0.00279193131848957, 0.000346413563060952, 0.992589148973244, 7.00741085102676, 87.5926356378344, 0, 
19, 4, 2, Non-Forest, Other Vegetation, 1, 0.000656056053429205, 0.000346413563060952, 0.528022702637914, 0.471977297362086, 47.1977297362086, 0, 
19, 4, 3, Non-Forest, Cropland, 1, 0.00405202804003404, 0.000346413563060952, 0.0854882352350235, 0.914511764764977, 91.4511764764977, 0, 
19, 4, 4, Non-Forest, Non-Forest, 0, 0, 0.000346413563060952, 0, 0, 0, 0, 
20, 1, 1, Forest, Forest, 0, 0, 0.00685830586818106, 0, 0, 0, 0, 
20, 1, 2, Forest, Other Vegetation, 172, 0.112921650756969, 0.00685830586818106, 10.4353537346803, 161.56464626532, 93.9329338751859, 0, 
