Class	PixelSum	Percentage %	Area [degree^2]
10.0	44109	4.00080906883	0.320351896387
11.0	5964	0.540951399635	0.0433149404896
20.0	10201	0.925259092501	0.074087140834
30.0	9734	0.882900892697	0.0706954444543
40.0	24512	2.22330662439	0.178024114903
50.0	629162	57.0667445501	4.56943571232
60.0	4635	0.420407400621	0.033662768137
61.0	2679	0.242992756476	0.0194568621012
70.0	151804	13.7690453169	1.10251194267
100.0	75886	6.88307141393	0.551139767604
110.0	3889	0.352743124276	0.0282447692092
120.0	19099	1.73233245835	0.138710940377
121.0	92300	8.37186689911	0.670350269481
122.0	42	0.00380951689884	0.00030503479218
130.0	19992	1.81333004385	0.145196561078
150.0	15	0.00136054174958	0.000108940997207
170.0	180	0.016326500995	0.00130729196649
180.0	1405	0.127437410544	0.0102041400717
190.0	169	0.0153287703786	0.00122740190187
200.0	5	0.000453513916528	3.63136657357e-05
201.0	45	0.00408162524875	0.000326822991622
202.0	7	0.000634919483139	5.083913203e-05
210.0	6315	0.572788076575	0.0458641598242
220.0	353	0.0320180825069	0.00256374480094
