Interval*,Id*,Category_name,Observed_Annual_Gain_number_of_elements,Gain_Intensity_percent_of_t2_category,Uniform_Intensity_percent_of_interval_domain,Uniform_Annual_Gain_number_of_elements,Hypothesized_Annual_Error_number_of_elements,Commission_Intensity_percent_of_t2_category,Omission_Intensity_percent_of_t2_category,Hypothesized_t2_Error_percent_of_interval_domain
14,2,Mosaic Vegetation,147,0.36,0.11,45,102,69.64,0.00,0.03
14,3,Shrubland,119,0.11,0.11,117,2,1.86,0.00,0.03
14,4,Other Vegetation,0,0.00,0.11,1,1,0.00,100.00,0.03
14,5,Cropland,71,0.29,0.11,26,45,62.75,0.00,0.03
14,6,Non-Vegetation,2,0.02,0.11,11,9,0.00,81.22,0.03
15,1,Forest,184,0.06,0.22,640,456,0.00,71.26,0.10
15,2,Mosaic Vegetation,297,0.72,0.22,90,207,69.63,0.00,0.10
15,3,Shrubland,463,0.43,0.22,235,228,49.21,0.00,0.10
15,4,Other Vegetation,9,0.81,0.22,2,7,72.98,0.00,0.10
15,5,Cropland,87,0.36,0.22,53,34,38.55,0.00,0.10
15,6,Non-Vegetation,3,0.03,0.22,21,18,0.00,86.01,0.10
16,1,Forest,188,0.06,0.19,549,361,0.00,65.77,0.08
16,2,Mosaic Vegetation,368,0.89,0.19,78,290,78.81,0.00,0.08
16,3,Shrubland,244,0.23,0.19,202,42,17.08,0.00,0.08
16,4,Other Vegetation,1,0.09,0.19,2,1,0.00,52.50,0.08
16,5,Cropland,94,0.39,0.19,46,48,51.02,0.00,0.08
16,6,Non-Vegetation,1,0.01,0.19,18,17,0.00,94.57,0.08
17,1,Forest,131,0.05,0.23,670,539,0.00,80.46,0.12
17,2,Mosaic Vegetation,489,1.17,0.23,96,393,80.33,0.00,0.12
17,3,Shrubland,429,0.40,0.23,248,181,42.22,0.00,0.12
17,4,Other Vegetation,0,0.00,0.23,3,3,0.00,100.00,0.12
17,5,Cropland,45,0.18,0.23,57,12,0.00,20.39,0.12
17,6,Non-Vegetation,2,0.02,0.23,22,20,0.00,91.10,0.12
18,1,Forest,111,0.04,0.34,989,878,0.00,88.78,0.19
18,2,Mosaic Vegetation,560,1.32,0.34,144,416,74.26,0.00,0.19
18,3,Shrubland,815,0.76,0.34,368,447,54.80,0.00,0.19
18,4,Other Vegetation,1,0.09,0.34,4,3,0.00,73.72,0.19
18,5,Cropland,133,0.54,0.34,84,49,36.90,0.00,0.19
18,6,Non-Vegetation,3,0.03,0.34,33,30,0.00,91.00,0.19
19,1,Forest,55,0.02,0.29,830,775,0.00,93.38,0.17
19,2,Mosaic Vegetation,390,0.91,0.29,123,267,68.47,0.00,0.17
19,3,Shrubland,732,0.67,0.29,312,420,57.33,0.00,0.17
19,4,Other Vegetation,12,1.08,0.29,3,9,73.33,0.00,0.17
19,5,Cropland,178,0.72,0.29,71,107,60.10,0.00,0.17
19,6,Non-Vegetation,1,0.01,0.29,28,27,0.00,96.43,0.17
20,1,Forest,65,0.02,0.10,291,226,0.00,77.64,0.05
20,2,Mosaic Vegetation,96,0.22,0.10,43,53,54.76,0.00,0.05
20,3,Shrubland,91,0.08,0.10,110,19,0.00,17.18,0.05
20,4,Other Vegetation,0,0.00,0.10,1,1,0.00,100.00,0.05
20,5,Cropland,221,0.89,0.10,25,196,88.67,0.00,0.05
20,6,Non-Vegetation,7,0.07,0.10,10,3,0.00,28.73,0.05
21,1,Forest,52,0.02,0.13,379,327,0.00,86.27,0.07
