"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",26691,254,2534,9645,2092,47594,97,299,98162
"BUA",1504,6658,759,5986,1005,22393,681,753,3697
"FOR",1850,155,32257070,8387,312958,212041,1409151,287077,4096
"MNG",3123,209,35868,3017740,268169,198838,30682,11569,83630
"OPM",1023,71,162290,17040,1528488,141515,702084,16429,1615
"RPD",17112,1414,118445,61147,192817,1584102,298296,34416,8550
"RBR",97,10,92644,1531,319012,69362,888813,4157,188
"SHB",729,70,346663,1579,197349,100963,186557,88028,451
"WTR",1215,14,34778,2678,2872,4639,30,44,251324
