"","BRG","BUA","FOR","MNG","OPM","RPD","RBR","SHB","WTR"
"BRG",42331,3853,218,13686,330,17405,20,132,5691
"BUA",1058,4896,126,2718,217,3379,13,129,329
"FOR",4141,1525,33415532,60878,1438916,375974,776171,614160,32268
"MNG",15042,13368,197016,3405932,562204,254508,132108,93595,6596
"OPM",344,326,157779,13935,307660,11094,39627,3279,24
"RPD",49523,12495,79010,101478,78849,1457845,60260,48109,5559
"RBR",154,43,256247,1465,103448,48978,284345,19531,5
"SHB",1483,4972,381386,9679,76960,140191,83180,143315,278
"WTR",73292,1958,5471,40057,1971,6925,90,139,246844
