Category Transitions,From BUA,To BUA,UI From,UI To
FOR,0.00,0.00,0.00,0.00
MNG,0.00,0.01,0.00,0.00
OPM,0.00,0.00,0.00,0.00
RBM,0.00,0.00,0.00,0.00
SHB,0.00,0.00,0.00,0.00
RPD,0.00,0.00,0.00,0.00
BSG,0.01,0.00,0.00,0.00
WTR,0.00,0.00,0.00,0.00
