Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.16,0.27,0.12,0.29
MNG,0.00,0.21,0.12,0.29
RBM,0.22,0.08,0.12,0.29
SHB,0.10,0.39,0.12,0.29
RPD,0.00,0.05,0.12,0.29
BUA,0.00,0.03,0.12,0.29
BSG,0.01,0.04,0.12,0.29
WTR,0.02,0.08,0.12,0.29
