Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.00,0.00,0.03,0.01
MNG,0.12,0.05,0.03,0.01
OPM,0.01,0.00,0.03,0.01
RBM,0.03,0.00,0.03,0.01
SHB,0.06,0.01,0.03,0.01
RPD,1.22,0.10,0.03,0.01
BUA,0.08,0.26,0.03,0.01
WTR,0.40,0.16,0.03,0.01
