Category Transitions,From RPD,To RPD,UI From,UI To
FOR,0.00,0.00,0.01,0.02
MNG,0.02,0.03,0.01,0.02
OPM,0.01,0.00,0.01,0.02
RBM,0.02,0.00,0.01,0.02
SHB,0.06,0.05,0.01,0.02
BUA,0.05,0.14,0.01,0.02
BSG,0.12,0.66,0.01,0.02
WTR,0.00,0.00,0.01,0.02
