From*, To*, Variable*, Range_Lower_Limit*, Weight, 
3, 7, static_var/Bio11, 265, 0, 
3, 7, static_var/Bio12, 0, 0, 
3, 7, static_var/Bio12, 1700, 0, 
3, 7, static_var/Bio12, 1800, 0, 
3, 7, static_var/Bio12, 2000, 0, 
3, 7, static_var/Bio12, 2500, 0, 
3, 7, static_var/Bio12, 2600, 0, 
3, 7, static_var/Bio12, 2700, 0, 
3, 7, static_var/Bio12, 3300, 0, 
3, 7, static_var/Bio12, 3400, 0, 
3, 7, static_var/Bio12, 5700, 0, 
3, 7, static_var/Bio12, 5800, 0, 
3, 7, static_var/Bio12, 5900, 0, 
3, 7, static_var/Bio12, 6200, 0, 
3, 7, static_var/Bio12, 6300, 0, 
3, 7, static_var/Bio12, 6500, 0, 
3, 7, static_var/Bio13, 0, 0, 
3, 7, static_var/Bio13, 300, 0, 
3, 7, static_var/Bio13, 350, 0, 
3, 7, static_var/Bio13, 650, 0, 
3, 7, static_var/Bio13, 950, 0, 
3, 7, static_var/Bio13, 1150, 0, 
3, 7, static_var/Bio13, 1450, 0, 
3, 7, static_var/Bio13, 1500, 0, 
3, 7, static_var/Bio13, 1600, 0, 
3, 7, static_var/Bio13, 1650, 0, 
3, 7, static_var/Bio14, 0, 0, 
3, 7, static_var/Bio14, 5, 0, 
3, 7, static_var/Bio14, 10, 0, 
3, 7, static_var/Bio14, 15, 0, 
3, 7, static_var/Bio14, 30, 0, 
3, 7, static_var/Bio14, 35, 0, 
3, 7, static_var/Bio14, 50, 0, 
3, 7, static_var/Bio14, 55, 0, 
3, 7, static_var/Bio15, 0, 0, 
3, 7, static_var/Bio15, 65, 0, 
3, 7, static_var/Bio15, 70, 0, 
3, 7, static_var/Bio15, 75, 0, 
3, 7, static_var/Bio15, 85, 0, 
3, 7, static_var/Bio15, 90, 0, 
3, 7, static_var/Bio15, 95, 0, 
3, 7, static_var/Bio15, 100, 0, 
3, 7, static_var/Bio15, 105, 0, 
3, 7, static_var/Bio15, 110, 0, 
3, 7, static_var/Bio16, 0, 0, 
3, 7, static_var/Bio16, 800, 0, 
3, 7, static_var/Bio16, 900, 0, 
3, 7, static_var/Bio16, 1000, 0, 
3, 7, static_var/Bio16, 1300, 0, 
3, 7, static_var/Bio16, 1400, 0, 
3, 7, static_var/Bio16, 1500, 0, 
3, 7, static_var/Bio16, 2600, 0, 
3, 7, static_var/Bio16, 2700, 0, 
3, 7, static_var/Bio16, 2800, 0, 
3, 7, static_var/Bio16, 2900, 0, 
3, 7, static_var/Bio16, 3100, 0, 
3, 7, static_var/Bio16, 3200, 0, 
3, 7, static_var/Bio16, 3500, 0, 
3, 7, static_var/Bio16, 4100, 0, 
3, 7, static_var/Bio16, 4200, 0, 
3, 7, static_var/Bio16, 4300, 0, 
3, 7, static_var/Bio16, 5100, 0, 
3, 7, static_var/Bio17, 0, 0, 
3, 7, static_var/Bio17, 15, 0, 
3, 7, static_var/Bio17, 20, 0, 
3, 7, static_var/Bio17, 25, 0, 
3, 7, static_var/Bio17, 30, 0, 
3, 7, static_var/Bio17, 40, 0, 
3, 7, static_var/Bio17, 45, 0, 
3, 7, static_var/Bio17, 95, 0, 
3, 7, static_var/Bio17, 100, 0, 
3, 7, static_var/Bio17, 115, 0, 
3, 7, static_var/Bio17, 140, 0, 
3, 7, static_var/Bio17, 145, 0, 
3, 7, static_var/Bio17, 160, 0, 
3, 7, static_var/Bio17, 165, 0, 
3, 7, static_var/Bio18, 0, 0, 
3, 7, static_var/Bio18, 115, 0, 
3, 7, static_var/Bio18, 120, 0, 
3, 7, static_var/Bio18, 135, 0, 
3, 7, static_var/Bio18, 140, 0, 
3, 7, static_var/Bio18, 155, 0, 
3, 7, static_var/Bio18, 160, 0, 
3, 7, static_var/Bio18, 165, 0, 
3, 7, static_var/Bio18, 185, 0, 
3, 7, static_var/Bio18, 245, 0, 
3, 7, static_var/Bio18, 250, 0, 
3, 7, static_var/Bio18, 295, 0, 
3, 7, static_var/Bio18, 300, 0, 
3, 7, static_var/Bio18, 305, 0, 
3, 7, static_var/Bio18, 310, 0, 
3, 7, static_var/Bio19, 0, 0, 
3, 7, static_var/Bio19, 20, 0, 
3, 7, static_var/Bio19, 30, 0, 
3, 7, static_var/Bio19, 40, 0, 
3, 7, static_var/Bio19, 50, 0, 
3, 7, static_var/Bio19, 60, 0, 
3, 7, static_var/Bio19, 70, 0, 
3, 7, static_var/Bio19, 90, 0, 
3, 7, static_var/Bio19, 100, 0, 
3, 7, static_var/Bio19, 110, 0, 
3, 7, static_var/Bio19, 120, 0, 
3, 7, static_var/Bio19, 130, 0, 
3, 7, static_var/Bio19, 150, 0, 
3, 7, static_var/Bio19, 160, 0, 
3, 7, static_var/Bio19, 210, 0, 
3, 7, static_var/Bio19, 220, 0, 
3, 7, static_var/Cy000, 0, 0, 
3, 7, static_var/Cy000, 18, 0, 
3, 7, static_var/Cy000, 25, 0, 
3, 7, static_var/Cy000, 26, 0, 
3, 7, static_var/Cy000, 28, 0, 
3, 7, static_var/Cy000, 29, 0, 
3, 7, static_var/Cy000, 30, 0, 
3, 7, static_var/Cy000, 31, 0, 
3, 7, static_var/Cy000, 32, 0, 
3, 7, static_var/Cy000, 33, 0, 
3, 7, static_var/Cy000, 34, 0, 
3, 7, static_var/Cy000, 39, 0, 
3, 7, static_var/Cy000, 40, 0, 
3, 7, static_var/D_Mill, 0, 0, 
3, 7, static_var/D_Mill, 7500, 0, 
3, 7, static_var/D_Mill, 10000, 0, 
3, 7, static_var/D_Mill, 10100, 0, 
3, 7, static_var/D_Mill, 10300, 0, 
3, 7, static_var/D_Mill, 10400, 0, 
3, 7, static_var/D_Mill, 10500, 0, 
3, 7, static_var/D_Mill, 10700, 0, 
3, 7, static_var/D_Mill, 10800, 0, 
3, 7, static_var/D_Mill, 11000, 0, 
3, 7, static_var/D_Mill, 11100, 0, 
3, 7, static_var/D_Mill, 11300, 0, 
3, 7, static_var/D_Mill, 11400, 0, 
3, 7, static_var/D_Mill, 11500, 0, 
3, 7, static_var/D_Mill, 11600, 0, 
3, 7, static_var/D_Mill, 11900, 0, 
3, 7, static_var/D_Mill, 12000, 0, 
3, 7, static_var/D_Mill, 12100, 0, 
3, 7, static_var/D_Mill, 12200, 0, 
3, 7, static_var/D_Mill, 12300, 0, 
3, 7, static_var/D_Mill, 12400, 0, 
3, 7, static_var/D_Mill, 12500, 0, 
3, 7, static_var/D_Mill, 16500, 0, 
3, 7, static_var/D_Mill, 16600, 0, 
3, 7, static_var/D_Mill, 16700, 0, 
3, 7, static_var/D_Mill, 16800, 0, 
3, 7, static_var/D_Mill, 16900, 0, 
3, 7, static_var/D_Mill, 17100, 0, 
3, 7, static_var/D_Mill, 18500, 0, 
3, 7, static_var/D_Mill, 18600, 0, 
3, 7, static_var/D_Mill, 22200, 0, 
3, 7, static_var/D_Mill, 22300, 0, 
3, 7, static_var/D_Mill, 22500, 0, 
3, 7, static_var/D_Mill, 22800, 0, 
3, 7, static_var/D_Mill, 22900, 0, 
3, 7, static_var/D_Mill, 23000, 0, 
3, 7, static_var/D_Mill, 23100, 0, 
3, 7, static_var/D_Mill, 23200, 0, 
3, 7, static_var/D_Mill, 23400, 0, 
3, 7, static_var/D_Mill, 23800, 0, 
3, 7, static_var/D_Mill, 24000, 0, 
3, 7, static_var/D_Mill, 24800, 0, 
3, 7, static_var/D_Mill, 24900, 0, 
3, 7, static_var/D_Mill, 25100, 0, 
3, 7, static_var/D_Mill, 25200, 0, 
3, 7, static_var/D_Mill, 25300, 0, 
3, 7, static_var/D_Mill, 27500, 0, 
3, 7, static_var/D_Mill, 27600, 0, 
3, 7, static_var/D_Mill, 27900, 0, 
3, 7, static_var/D_Mill, 31900, 0, 
3, 7, static_var/D_Mill, 32400, 0, 
3, 7, static_var/D_Mill, 32500, 0, 
3, 7, static_var/D_Mill, 32600, 0, 
3, 7, static_var/D_Mill, 32700, 0, 
3, 7, static_var/D_Mill, 32800, 0, 
3, 7, static_var/D_Mill, 32900, 0, 
3, 7, static_var/D_Mill, 33000, 0, 
3, 7, static_var/D_Mill, 33500, 0, 
3, 7, static_var/D_Mill, 33600, 0, 
3, 7, static_var/D_Mill, 33700, 0, 
3, 7, static_var/D_Mill, 35200, 0, 
3, 7, static_var/D_Mill, 35300, 0, 
3, 7, static_var/D_Mill, 37600, 0, 
3, 7, static_var/D_Mill, 37900, 0, 
3, 7, static_var/D_Mill, 42600, 0, 
3, 7, static_var/D_Mill, 42700, 0, 
3, 7, static_var/D_Mill, 42800, 0, 
3, 7, static_var/D_Mill, 84200, 0, 
3, 7, static_var/D_Mill, 84300, 0, 
3, 7, static_var/D_Mill, 84400, 0, 
3, 7, static_var/D_Mill, 84500, 0, 
3, 7, static_var/D_Mill, 85100, 0, 
3, 7, static_var/D_Mill, 85200, 0, 
3, 7, static_var/D_Mill, 85300, 0, 
3, 7, static_var/D_Mill, 85400, 0, 
3, 7, static_var/D_Mill, 85500, 0, 
3, 7, static_var/D_Mill, 85600, 0, 
3, 7, static_var/D_Mill, 85900, 0, 
3, 7, static_var/D_Mill, 86000, 0, 
3, 7, static_var/D_Mill, 86100, 0, 
3, 7, static_var/D_Mill, 86200, 0, 
3, 7, static_var/D_Mill, 86300, 0, 
3, 7, static_var/D_Mill, 86400, 0, 
3, 7, static_var/D_Mill, 86500, 0, 
3, 7, static_var/D_Mill, 87100, 0, 
3, 7, static_var/D_Mill, 87200, 0, 
3, 7, static_var/D_Mill, 87300, 0, 
3, 7, static_var/D_Mill, 87400, 0, 
3, 7, static_var/D_Mill, 87800, 0, 
3, 7, static_var/D_Mill, 87900, 0, 
3, 7, static_var/D_Mill, 88000, 0, 
3, 7, static_var/D_Mill, 88100, 0, 
3, 7, static_var/D_Mill, 88200, 0, 
3, 7, static_var/D_Mill, 88400, 0, 
3, 7, static_var/D_Mill, 88500, 0, 
3, 7, static_var/D_Mill, 88600, 0, 
3, 7, static_var/D_Mill, 88700, 0, 
3, 7, static_var/D_Mill, 88900, 0, 
3, 7, static_var/D_Mill, 89100, 0, 
3, 7, static_var/D_Mill, 91800, 0, 
3, 7, static_var/D_Mill, 91900, 0, 
3, 7, static_var/D_Mill, 92000, 0, 
3, 7, static_var/D_Mill, 92100, 0, 
3, 7, static_var/D_Mill, 92200, 0, 
3, 7, static_var/D_Mill, 92300, 0, 
3, 7, static_var/D_Mill, 92400, 0, 
3, 7, static_var/D_Mill, 92500, 0, 
3, 7, static_var/D_Mill, 92600, 0, 
3, 7, static_var/D_Mill, 92700, 0, 
3, 7, static_var/D_Mill, 92800, 0, 
3, 7, static_var/D_Mill, 92900, 0, 
3, 7, static_var/D_Mill, 93000, 0, 
3, 7, static_var/D_Mill, 93100, 0, 
3, 7, static_var/D_Mill, 93200, 0, 
3, 7, static_var/D_Mill, 93300, 0, 
3, 7, static_var/D_Mill, 93500, 0, 
3, 7, static_var/D_Mill, 93600, 0, 
3, 7, static_var/D_Mill, 93800, 0, 
3, 7, static_var/D_Mill, 94000, 0, 
3, 7, static_var/D_Mill, 94100, 0, 
3, 7, static_var/D_Mill, 94200, 0, 
3, 7, static_var/D_Mill, 94300, 0, 
3, 7, static_var/D_Mill, 94400, 0, 
3, 7, static_var/D_Mill, 94500, 0, 
3, 7, static_var/D_Mill, 94600, 0, 
3, 7, static_var/D_Mill, 94800, 0, 
