Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.02,0.01,0.02,0.02
OPM,0.10,0.00,0.02,0.02
RBM,0.00,0.00,0.02,0.02
SHB,0.03,0.02,0.02,0.02
RPD,0.01,0.18,0.02,0.02
BUA,0.00,4.17,0.02,0.02
BSG,0.23,1.22,0.02,0.02
WTR,0.01,0.03,0.02,0.02
