Category Transitions,From WTR,To WTR,UI From,UI To
FOR,0.00,0.00,0.00,0.01
MNG,0.04,0.01,0.00,0.01
OPM,0.00,0.00,0.00,0.01
RBM,0.00,0.00,0.00,0.01
SHB,0.00,0.00,0.00,0.01
RPD,0.02,0.00,0.00,0.01
BUA,0.06,0.18,0.00,0.01
BSG,1.41,1.17,0.00,0.01
