Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.13,0.23,0.11,0.27
MNG,0.00,0.22,0.11,0.27
RBM,0.24,0.08,0.11,0.27
SHB,0.11,0.38,0.11,0.27
RPD,0.00,0.05,0.11,0.27
BUA,0.00,0.03,0.11,0.27
BSG,0.01,0.04,0.11,0.27
WTR,0.02,0.08,0.11,0.27
