Category Transitions,From FOR,To FOR,UI From,UI To
MNG,0.42,0.58,0.86,0.47
OPM,1.63,1.54,0.86,0.47
RBM,0.96,0.33,0.86,0.47
SHB,0.92,0.40,0.86,0.47
RPD,0.03,0.01,0.86,0.47
BUA,0.42,0.02,0.86,0.47
BSG,0.05,0.07,0.86,0.47
WTR,0.01,0.98,0.86,0.47
