Class	PixelSum	Percentage %	Area [degree^2]
10.0	173849	9.28483649568	1.2626188949
11.0	49488	2.64302922938	0.359418137986
20.0	6989	0.373264857827	0.0507592419654
30.0	38244	2.04251555626	0.277755966479
40.0	260967	13.9375890903	1.89533368121
50.0	234973	12.5493151292	1.70654619578
60.0	149546	7.98687457841	1.08611269122
61.0	315	0.0168233553034	0.00228776094135
70.0	249969	13.3502136566	1.81545814206
100.0	435907	23.2806931436	3.16587621797
110.0	200	0.0106814954307	0.00145254662943
120.0	88492	4.72613446828	0.642693781657
121.0	151342	8.08279440738	1.09915655996
122.0	8	0.000427259817229	5.81018651772e-05
130.0	24045	1.28418278816	0.174632418523
170.0	75	0.00400556078652	0.000544704986036
180.0	651	0.034768267627	0.00472803927879
190.0	650	0.0347148601499	0.00472077654564
210.0	6687	0.357135799726	0.048565896555
