Class	PixelSum	Percentage %	Area [degree^2]
10.0	181584	9.69794333146	1.31879613579
11.0	51824	2.76778909601	0.376383882618
20.0	7461	0.398473187043	0.0541872520108
30.0	40572	2.16684816308	0.294663609246
40.0	267781	14.3015076397	1.94482194488
50.0	255075	13.622912235	1.85254165751
60.0	133544	7.132248129	0.969894435402
61.0	322	0.0171972076435	0.00233860007338
70.0	257201	13.7364565314	1.86798222818
100.0	454063	24.2503592988	3.29773840099
110.0	221	0.0118030524509	0.00160506402552
120.0	38841	2.07439982012	0.282091818168
121.0	150835	8.05571681647	1.09547435425
122.0	8	0.000427259817229	5.81018651772e-05
130.0	24298	1.29769487988	0.176469890009
170.0	92	0.00491348789813	0.000668171449537
180.0	639	0.0341273779012	0.00464088648103
190.0	933	0.0498291761843	0.00677613002629
210.0	7103	0.379353310222	0.0515871935442
