Class	PixelSum	Percentage %	Area [degree^2]
10.0	182607	9.75257918059	1.3262259118
11.0	52203	2.78803052985	0.37913645848
20.0	7479	0.399434521632	0.0543179812075
30.0	41020	2.19077471284	0.297917313696
40.0	272010	14.5273678606	1.97553604335
50.0	254465	13.5903336739	1.84811139029
60.0	126863	6.77543277414	0.921372115246
61.0	322	0.0171972076435	0.00233860007338
70.0	256745	13.7121027218	1.86467042186
100.0	460442	24.5910455956	3.34406737574
110.0	223	0.0119098674053	0.00161958949181
120.0	33627	1.79593323424	0.244223927539
121.0	151000	8.0645290502	1.09667270522
122.0	8	0.000427259817229	5.81018651772e-05
130.0	24348	1.30036525374	0.176833026667
170.0	99	0.00528734023821	0.000719010581567
180.0	646	0.0345012302412	0.00469172561306
190.0	1125	0.0600834117978	0.00817057479054
210.0	7165	0.382664573806	0.0520374829993
