Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.03,0.20,0.09,0.36
MNG,0.00,0.02,0.09,0.36
OPM,0.03,0.70,0.09,0.36
SHB,0.35,1.15,0.09,0.36
RPD,0.01,0.34,0.09,0.36
BUA,0.00,0.06,0.09,0.36
BSG,0.00,0.31,0.09,0.36
WTR,0.00,0.00,0.09,0.36
