Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.03,0.24,0.12,0.48
MNG,0.00,0.01,0.12,0.48
OPM,0.03,0.69,0.12,0.48
SHB,0.27,0.93,0.12,0.48
RPD,0.01,0.12,0.12,0.48
BUA,0.00,0.05,0.12,0.48
BSG,0.00,0.01,0.12,0.48
WTR,0.00,0.00,0.12,0.48
