Category Transitions,From FOR,To FOR,UI From,UI To
MNG,0.44,0.64,0.81,0.46
OPM,1.62,1.66,0.81,0.46
RBM,0.93,0.31,0.81,0.46
SHB,0.83,0.37,0.81,0.46
RPD,0.03,0.01,0.81,0.46
BUA,0.07,0.02,0.81,0.46
BSG,0.05,0.08,0.81,0.46
WTR,0.01,1.00,0.81,0.46
