Class	PixelSum	Percentage %	Area [degree^2]
10.0	303508	25.9476188237	2.20429761202
11.0	29569	2.52792394599	0.214751756428
20.0	34532	2.95222258794	0.250796701037
30.0	17265	1.4760258016	0.125391087785
40.0	37907	3.24075934325	0.275308425409
50.0	334314	28.5812968338	2.42803336935
60.0	91888	7.85572307311	0.667358023425
61.0	174	0.0148756727181	0.0012637155676
70.0	86243	7.37311863349	0.626359894809
100.0	128718	11.0044071318	0.934844485234
110.0	51	0.0043601109691	0.000370399390504
120.0	17737	1.51637820116	0.128819097831
121.0	62642	5.35541316326	0.454952129803
122.0	9	0.000769431347488	6.53645983243e-05
130.0	3297	0.281868350296	0.0239452311861
150.0	5	0.000427461859716	3.63136657357e-05
170.0	136	0.0116269625843	0.000987731708012
180.0	619	0.0529197782328	0.00449563181808
190.0	701	0.0599301527321	0.00509117593615
200.0	12	0.00102590846332	8.71527977657e-05
210.0	20368	1.74130863174	0.147927348741
