Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.11,0.14,0.10,0.21
MNG,0.00,0.21,0.10,0.21
RBM,0.21,0.06,0.10,0.21
SHB,0.10,0.35,0.10,0.21
RPD,0.00,0.04,0.10,0.21
BUA,0.00,0.03,0.10,0.21
BSG,0.01,0.04,0.10,0.21
WTR,0.02,0.08,0.10,0.21
