Category Transitions,From RPD,To RPD,UI From,UI To
FOR,0.00,0.00,0.01,0.01
MNG,0.00,0.00,0.01,0.01
OPM,0.02,0.00,0.01,0.01
RBM,0.03,0.00,0.01,0.01
SHB,0.03,0.04,0.01,0.01
BUA,0.00,0.00,0.01,0.01
BSG,0.01,0.46,0.01,0.01
WTR,0.00,0.01,0.01,0.01
