Category Transitions,From SHB,To SHB,UI From,UI To
FOR,0.30,0.45,0.78,0.62
MNG,0.12,0.23,0.78,0.62
OPM,2.17,1.01,0.78,0.62
RBM,3.19,3.14,0.78,0.62
RPD,0.54,2.49,0.78,0.62
BUA,0.34,2.39,0.78,0.62
BSG,0.31,0.74,0.78,0.62
WTR,0.07,0.09,0.78,0.62
