Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.06,0.09,0.07,0.12
MNG,0.00,0.24,0.07,0.12
RBM,0.17,0.04,0.07,0.12
SHB,0.11,0.25,0.07,0.12
RPD,0.01,0.06,0.07,0.12
BUA,0.00,0.01,0.07,0.12
BSG,0.01,0.04,0.07,0.12
WTR,0.00,0.00,0.07,0.12
