Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.10,0.06,0.10,0.07
OPM,0.33,0.01,0.10,0.07
RBM,0.01,0.00,0.10,0.07
SHB,0.06,0.03,0.10,0.07
RPD,0.20,0.30,0.10,0.07
BUA,0.71,0.61,0.10,0.07
BSG,0.53,0.85,0.10,0.07
WTR,0.21,0.29,0.10,0.07
