Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.05,0.36,0.06,0.37
MNG,0.00,0.26,0.06,0.37
RBM,0.11,0.09,0.06,0.37
SHB,0.07,0.45,0.06,0.37
RPD,0.02,0.34,0.06,0.37
BUA,0.00,0.00,0.06,0.37
BSG,0.00,0.12,0.06,0.37
WTR,0.00,0.00,0.06,0.37
