Category Transitions,From FOR,To FOR,UI From,UI To
MNG,0.30,0.60,0.83,0.54
OPM,1.51,1.78,0.83,0.54
RBM,1.20,0.50,0.83,0.54
SHB,0.83,0.47,0.83,0.54
RPD,0.03,0.01,0.83,0.54
BUA,0.44,0.02,0.83,0.54
BSG,0.04,0.08,0.83,0.54
WTR,0.01,0.99,0.83,0.54
