Category Transitions,From SHB,To SHB,UI From,UI To
FOR,0.14,0.41,0.29,0.47
MNG,0.17,0.42,0.29,0.47
OPM,0.78,0.51,0.29,0.47
RBM,1.90,2.88,0.29,0.47
RPD,2.45,2.67,0.29,0.47
BUA,0.00,0.21,0.29,0.47
BSG,0.31,0.58,0.29,0.47
WTR,0.01,0.03,0.29,0.47
