Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.03,0.14,0.04,0.12
OPM,0.10,0.00,0.04,0.12
RBM,0.00,0.00,0.04,0.12
SHB,0.04,0.03,0.04,0.12
RPD,0.01,0.04,0.04,0.12
BUA,0.87,2.06,0.04,0.12
BSG,0.49,1.32,0.04,0.12
WTR,0.04,0.24,0.04,0.12
