Category Transitions,From OPM,To OPM,UI From,UI To
FOR,0.07,0.08,0.06,0.08
MNG,0.00,0.14,0.06,0.08
RBM,0.06,0.01,0.06,0.08
SHB,0.04,0.11,0.06,0.08
RPD,0.00,0.02,0.06,0.08
BUA,0.00,0.00,0.06,0.08
BSG,0.00,0.04,0.06,0.08
WTR,0.00,0.00,0.06,0.08
