Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.02,0.22,0.11,0.47
MNG,0.00,0.01,0.11,0.47
OPM,0.04,0.73,0.11,0.47
SHB,0.27,0.97,0.11,0.47
RPD,0.01,0.14,0.11,0.47
BUA,0.00,0.06,0.11,0.47
BSG,0.00,0.06,0.11,0.47
WTR,0.00,0.00,0.11,0.47
