Categories,Loss Intensity,Gain Intensity,Uniform Intensity
FOR,0.78,0.29,1.17
MNG,1.03,0.62,1.17
OPM,3.99,4.35,1.17
RBM,3.94,4.70,1.17
SHB,2.16,2.44,1.17
RPD,3.56,3.67,1.17
BUA,5.00,5.00,1.17
BSG,3.82,1.99,1.17
WTR,0.26,0.45,1.17
