Category Transitions,From SHB,To SHB,UI From,UI To
FOR,0.18,0.46,0.44,0.54
MNG,0.07,0.25,0.44,0.54
OPM,1.49,1.15,0.44,0.54
RBM,2.55,3.04,0.44,0.54
RPD,1.84,2.84,0.44,0.54
BUA,0.02,4.06,0.44,0.54
BSG,0.31,1.38,0.44,0.54
WTR,0.01,0.02,0.44,0.54
