Category Transitions,From SHB,To SHB,UI From,UI To
FOR,0.40,0.74,1.00,0.85
MNG,0.13,0.23,1.00,0.85
OPM,2.19,1.03,1.00,0.85
RBM,3.44,3.32,1.00,0.85
RPD,0.44,2.48,1.00,0.85
BUA,0.45,2.20,1.00,0.85
BSG,0.30,0.61,1.00,0.85
WTR,0.06,0.07,1.00,0.85
