Category Transitions,From FOR,To FOR,UI From,UI To
MNG,0.37,0.42,1.60,0.68
OPM,2.45,2.13,1.60,0.68
RBM,1.93,0.85,1.60,0.68
SHB,1.79,0.69,1.60,0.68
RPD,0.26,0.02,1.60,0.68
BUA,1.83,0.06,1.60,0.68
BSG,0.10,0.06,1.60,0.68
WTR,0.00,0.01,1.60,0.68
