Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.00,0.00,0.09,0.01
MNG,0.27,0.05,0.09,0.01
OPM,0.02,0.00,0.09,0.01
RBM,0.01,0.00,0.09,0.01
SHB,0.06,0.01,0.09,0.01
RPD,2.33,0.07,0.09,0.01
BUA,1.79,0.85,0.09,0.01
WTR,0.84,0.47,0.09,0.01
