Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.03,0.02,0.04,0.02
OPM,0.36,0.00,0.04,0.02
RBM,0.01,0.00,0.04,0.02
SHB,0.06,0.02,0.04,0.02
RPD,0.32,0.21,0.04,0.02
BUA,3.02,0.39,0.04,0.02
BSG,0.63,0.56,0.04,0.02
WTR,0.04,0.08,0.04,0.02
