Category Transitions,From FOR,To FOR,UI From,UI To
MNG,2.38,0.49,2.68,0.26
OPM,3.49,1.64,2.68,0.26
RBM,2.35,0.24,2.68,0.26
SHB,2.67,0.16,2.68,0.26
RPD,1.22,0.04,2.68,0.26
BUA,3.20,0.00,2.68,0.26
BSG,0.76,0.02,2.68,0.26
WTR,0.01,0.00,2.68,0.26
