Categories,Loss Intensity,Gain Intensity,Uniform Intensity
FOR,0.87,0.56,1.49
MNG,1.17,0.83,1.49
OPM,3.52,4.13,1.49
RBM,3.72,4.65,1.49
SHB,1.90,1.58,1.49
RPD,3.08,3.17,1.49
BUA,4.52,3.66,1.49
BSG,4.09,1.79,1.49
WTR,1.95,1.22,1.49
