Category Transitions,From RPD,To RPD,UI From,UI To
FOR,0.00,0.00,0.09,0.10
MNG,0.10,0.06,0.09,0.10
OPM,0.02,0.00,0.09,0.10
RBM,0.04,0.02,0.09,0.10
SHB,0.21,0.04,0.09,0.10
BUA,0.31,0.59,0.09,0.10
BSG,0.23,2.20,0.09,0.10
WTR,0.01,0.02,0.09,0.10
