Category Transitions,From MNG,To MNG,UI From,UI To
FOR,0.11,0.05,0.11,0.07
OPM,0.36,0.01,0.11,0.07
RBM,0.01,0.00,0.11,0.07
SHB,0.07,0.03,0.11,0.07
RPD,0.21,0.31,0.11,0.07
BUA,0.83,0.63,0.11,0.07
BSG,0.53,0.84,0.11,0.07
WTR,0.22,0.29,0.11,0.07
