Category Transitions,From FOR,To FOR,UI From,UI To
MNG,0.77,0.95,2.21,1.01
OPM,3.89,3.93,2.21,1.01
RBM,2.70,1.12,2.21,1.01
SHB,2.25,0.88,2.21,1.01
RPD,0.43,0.00,2.21,1.01
BUA,4.78,0.04,2.21,1.01
BSG,0.14,0.11,2.21,1.01
WTR,0.00,0.01,2.21,1.01
