Category Transitions,From WTR,To WTR,UI From,UI To
FOR,0.00,0.00,0.01,0.00
MNG,0.05,0.01,0.01,0.00
OPM,0.00,0.00,0.01,0.00
RBM,0.00,0.00,0.01,0.00
SHB,0.00,0.00,0.01,0.00
RPD,0.03,0.00,0.01,0.00
BUA,0.00,0.00,0.01,0.00
BSG,2.69,0.46,0.01,0.00
