Category Transitions,From SHB,To SHB,UI From,UI To
FOR,0.36,0.69,0.94,0.81
MNG,0.12,0.23,0.94,0.81
OPM,2.14,1.13,0.94,0.81
RBM,3.40,3.32,0.94,0.81
RPD,0.48,2.50,0.94,0.81
BUA,0.35,2.57,0.94,0.81
BSG,0.32,0.75,0.94,0.81
WTR,0.06,0.07,0.94,0.81
