Category Transitions,From WTR,To WTR,UI From,UI To
FOR,0.03,0.00,0.02,0.01
MNG,0.04,0.02,0.02,0.01
OPM,0.01,0.01,0.02,0.01
RBM,0.00,0.00,0.02,0.01
SHB,0.00,0.00,0.02,0.01
RPD,0.01,0.00,0.02,0.01
BUA,0.05,0.02,0.02,0.01
BSG,0.59,0.26,0.02,0.01
