ID,x,y
FOR1995,1,9
MNG1995,1,8
OPM1995,1,7
RBM1995,1,6
SHB1995,1,5
RPD1995,1,4
BUA1995,1,3
BSG1995,1,2
WTR1995,1,1
FOR2015,9,9
MNG2015,9,8
OPM2015,9,7
RBM2015,9,6
SHB2015,9,5
RPD2015,9,4
BUA2015,9,3
BSG2015,9,2
WTR2015,9,1
