Category Transitions,From BSG,To BSG,UI From,UI To
FOR,0.01,0.00,0.14,0.02
MNG,0.31,0.04,0.14,0.02
OPM,0.02,0.00,0.14,0.02
RBM,0.00,0.00,0.14,0.02
SHB,0.06,0.01,0.14,0.02
RPD,2.44,0.07,0.14,0.02
BUA,2.21,0.87,0.14,0.02
WTR,0.83,0.42,0.14,0.02
