Category Transitions,From RBM,To RBM,UI From,UI To
FOR,0.01,0.19,0.10,0.28
MNG,0.00,0.01,0.10,0.28
OPM,0.03,0.47,0.10,0.28
SHB,0.23,0.66,0.10,0.28
RPD,0.03,0.46,0.10,0.28
BUA,0.00,0.00,0.10,0.28
BSG,0.01,0.37,0.10,0.28
WTR,0.00,0.00,0.10,0.28
