Category Transitions,From RPD,To RPD,UI From,UI To
FOR,0.00,0.00,0.08,0.08
MNG,0.08,0.06,0.08,0.08
OPM,0.02,0.00,0.08,0.08
RBM,0.03,0.01,0.08,0.08
SHB,0.19,0.04,0.08,0.08
BUA,0.25,0.59,0.08,0.08
BSG,0.23,2.11,0.08,0.08
WTR,0.01,0.02,0.08,0.08
